PERMNO,date,TICKER,PRC,RET,sprtrn
90248,2020/09/17,DPZ,395.07001,0.023550,-0.008412
90248,2020/09/18,DPZ,397.59000,0.006379,-0.011183
90248,2020/09/21,DPZ,404.97000,0.018562,-0.011571
90248,2020/09/22,DPZ,413.75000,0.021681,0.010518
90248,2020/09/23,DPZ,413.54001,-0.000508,-0.023721
90248,2020/09/24,DPZ,413.29999,-0.000580,0.002987
90248,2020/09/25,DPZ,418.07999,0.011565,0.015977
90248,2020/09/28,DPZ,421.54001,0.008276,0.016111
90248,2020/09/29,DPZ,423.45999,0.004555,-0.004813
90248,2020/09/30,DPZ,425.28000,0.004298,0.008254
90248,2020/10/01,DPZ,426.98999,0.004021,0.005293
90248,2020/10/02,DPZ,433.78000,0.015902,-0.009572
90248,2020/10/05,DPZ,424.94000,-0.020379,0.017976
90248,2020/10/06,DPZ,427.53000,0.006095,-0.013988
90248,2020/10/07,DPZ,431.04999,0.008233,0.017406
